repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AdminLTE,4,0,4,0.0,1.0,,
AspNetCore.Docs,10,7,3,0.7,0.3,"issue_number(7), fix_with_error_term(1), fixes_issue(1)",Update README.md (#6546) | Updating CLA link from cla2 to cla (#5613)  cla2.dotnetfoundation.org link is returning a 404.  Changing this to cla.dot | Surface the new public style manual (#5474)
Chart.js,7,6,1,0.8571,0.1429,"issue_number(6), fix_with_error_term(1)","Fix typo in README.md  (#5504) | Make both README.md and installation.md clearer (#5274)  Address the ambiguity of ""Selecting the Correct Build"" section | Fix Slack invitation link (#5217)  Setup a new Heroku app based on rauchg/slackin, using Slack legacy token from the Cha"
DefinitelyTyped,31,14,17,0.4516,0.5484,"issue_number(12), revert(1), github_pr_url(1)",Add a link about major version update in 'Make a pull request' section (#25663) | Update readme (#24932)  * Add note about `esModuleInterop`  * Update guidance on publishing to DT  Refrenced in https:// | Revert README   This commit should not have been included.
FFmpeg,134,4,130,0.0299,0.9701,"issue_number(3), revert(1)","Revert ""libavformat: add mbedTLS based TLS""  This reverts commit 62f5c9d68bf6e0f2c1a47cf002629a70a82274fc, which was pus | lavf/amr: Add amrnb and amrwb demuxers.  Fixes ticket #6678. | Add SUP/PGS subtitle muxer  Fixes ticket #2208"
FreeRDP,7,0,7,0.0,1.0,,
Ghost,22,8,14,0.3636,0.6364,"issue_number(7), fix_with_error_term(1), closes_issue(1)","Update SUPPORT.md - fix typo  Edit derp | Remove wishlist links (#8981)  No issue  The uservoice wishlist has been pretty inactive and neglected for quite a long  | Normalize docs URLs (#8949)  no issue  v1.0.0 is no longer the standard in the docs, so I updated all of the URLs contai"
HanLP,24,0,24,0.0,1.0,,
Marlin,10,2,8,0.2,0.8,issue_number(2),"Add Selena Compact board (#9407)  5-axis, high performance, powerful board with Smoothieware opensource firmware. Design | Add Azteeg X5 GT to supported list (#8185)  * Add Azteeg X5 GT to supported list  Signed-off-by: Alexey Shvetsov <alexxy"
PHPMailer,40,11,29,0.275,0.725,"issue_number(11), fixes_issue(4)","New language ang updated README.md (#1464)  * Create new language file: Tagalog (Philippines)  * Rename phpmailer.lang-t | Readme composer (#1378)  * Link to Composer's site and capitalise the Composer name  * Removes odd line break | Minor output cleanup, implements same as #1290"
Python,22,6,16,0.2727,0.7273,"issue_number(5), github_issue_url(1)","bpo-24318: Rewrite the README PGO section. (#6863)  * bpo-24318: Rewrite the README PGO section.  Merged from a phone on | Update PR template file, don't reference bpo 12345 (GH-5897)  Fixes https://github.com/python/core-workflow/issues/223 | advance copyright years to 2018 (#5094)"
Rocket.Chat,160,29,131,0.1812,0.8187,"issue_number(25), fix_with_error_term(6), fixes_issue(2)",Merge master into develop & Set version to 0.66.0-develop (#10903)  * add redhat dockerfile to master (#10408)  * add re | Release 0.65.0 (#10893)  * changed saml integration to store data on mongo instead of memory  * Update saml_server.js  * | Develop sync (#10815)  * add redhat dockerfile to master (#10408)  * add redhat dockerfile to master  * Add redhat docke
TypeScript,34,14,20,0.4118,0.5882,"issue_number(14), fixes_issue(5), github_issue_url(1)",Move templates (#23874)  * Move templates into new .github folder  * Add .github to npmignore | Add VSTS Build status badge to README (#23789) | PR template typo: labeled / labelled (#21854)
WordPress,2,1,1,0.5,0.5,"fixes_issue(1), issue_number(1)",General: Update copyright year to 2018 in license.txt.  Fixes #43007. Built from https://develop.svn.wordpress.org/trunk
airflow,106,98,8,0.9245,0.0755,"closes_issue(98), issue_number(98), fix_with_error_term(4)",[AIRFLOW-XXX] Add M4U to user list  Closes #3426 from msantino/AIRFLOW-2437-add_m4u_to_users_list | [Airflow-XXX] add Prime to company list  Closes #3424 from davideberdin/master | [AIRFLOW-2503] Fix broken links in CONTRIBUTING.md  - Fix broken links in `CONTRIBUTING.md`  Closes #3397 from kaxil/AIR
angular,138,40,98,0.2899,0.7101,"issue_number(40), closes_issue(26), fix_with_error_term(4)",docs(aio): add new sections to issue template (#23304)  Additional sections can help classify the issue better. PR Close | style: typos fixed - https://github.com/vlajos/misspell-fixer (#22975)  PR Close #22975 | feat(elements): add support for creating custom elements (#22413)  PR Close #22413
animate.css,14,11,3,0.7857,0.2143,"issue_number(11), fixes_issue(1), fix_with_error_term(1)",Fixes #644 | Update license year (#775) | Add CDNJS version badge in readme (#643)
ansible,241,133,108,0.5519,0.4481,"issue_number(129), fix_with_error_term(7), fixes_issue(6)",Detail CLA (#40665) | 2.6 changelog gen/version/root dir cleanup (#40421)  * patched in changelog gen stuff from stable-2.5 * Makefile updates | postgresql_user: set encrypted as default and fix empty password reporting changed (#36931)  * Set encrypted as default 
ant-design,168,56,112,0.3333,0.6667,"issue_number(49), fix_with_error_term(13), closes_issue(5)",Bump 3.5.0 (#10297) | Release 3.4.4 (#10296)  * add `lib/**/style/*` as sideEffects (#10217)  * Fix upload onChange arg type when beforeUpload | Bump 3.4.3 (#10198)
ardupilot,11,0,11,0.0,1.0,,
aspnetcore,209,52,157,0.2488,0.7512,"issue_number(43), fix_with_error_term(7), fixes_issue(3)",Update the `Stes to reproduece` section header (#7767) | Update Issue Template (#2231)  We changed some of the logging APIs and I decided it would be better to just write a Wiki | Add Gitter badge (#2174)
axios,26,7,19,0.2692,0.7308,"issue_number(7), fixes_issue(1)","docs: es6ify the docs a little (#1461) | docs: specify maxContentLength is in bytes (#1463) | docs: Added ES6 example in README (#1091)  The alternative way I added is more common and requested, as seen from issues"
azure-quickstart-templates,6,0,6,0.0,1.0,,
bitcoin,14,3,11,0.2143,0.7857,"issue_number(3), fixes_issue(1), fix_with_error_term(1)","Fixed a couple small grammatical errors.  1. ""If a pull request is not to be considered for merging (yet), please prefix | Squashed 'src/univalue/' changes from 16a1f7f6e..fe805ea74  fe805ea74 Declare single-argument (non-converting) construct | Squashed 'src/leveldb/' changes from a31c8aa40..196962ff0  196962ff0 Add AcceleratedCRC32C to port_win.h 1bdf1c34c Merge"
bootstrap,44,24,20,0.5455,0.4545,"issue_number(22), fix_with_error_term(2), closes_issue(1)",Remove the unused docs upload preview stuff. (#26599) | update README.md - debug search option is now in application.js (#26263) | Ship v4.1.0 (#26218)  * update docs path from docs/4.0/ to docs/4.1/  * bump version to 4.1.0  * Update redirects to wor
core,11,9,2,0.8182,0.1818,"issue_number(9), fixes_issue(1), fix_with_error_term(1)",Fix typos and update link (fixes #13520) (#13529) | [RFC] Update issue template (#12989)  * Update issue template  * Any release | Add more info to issue template (#12955)  * Update ISSUE_TEMPLATE.md  * Minumum supported version is Python 3.5.3  * typ
d3,1,0,1,0.0,1.0,,
darknet,3,0,3,0.0,1.0,,
django,49,46,3,0.9388,0.0612,"issue_number(46), fixes_issue(45), fix_with_error_term(2)",Fixed #29415 -- Fixed detection of custom URL converters in included patterns. | Fixed #29400 -- Fixed crash in custom template filters that use decorated functions.  Regression in 620e9dd31a2146d70de7 | Fixed #29421 -- Improved Romanian locale formats
dotfiles,1,1,0,1.0,0.0,"closes_issue(1), issue_number(1)",README: Update URLs  Closes #802.
dubbo,38,13,25,0.3421,0.6579,"issue_number(11), fix_with_error_term(2)",Fix pull request template typo | update NOTICE (#1703) | use mockito to replace easymock (#1676)
echarts,25,2,23,0.08,0.92,fix_with_error_term(2),Fix typo in README | fix some typo
elasticsearch,35,25,10,0.7143,0.2857,"issue_number(25), fix_with_error_term(1), closes_issue(1)",Add a quick tour of the project to CONTRIBUTING (#30187)  Adds a description of the most important subdirectories to `CO | Add a quick tour of the project to CONTRIBUTING (#30187)  Adds a description of the most important subdirectories to `CO | add copyright/scope configuration for intellij to Contributing Guide (#29688)  * add copyright/scope configuration for i
electron,40,6,34,0.15,0.85,"issue_number(5), fix_with_error_term(1)",add docs/development/README.md (#12373) | Change Contact Emails (#12278) | enhance documentation around contributing to electron (#11887)  * add issues document  * add documentation coding style 
erpnext,5,3,2,0.6,0.4,issue_number(3),"Update Readme to add new erpnext logo (#12728) | Rename schools to Education (#11524)  * renaming for the docs, demo data and patch  * changes in the doctypes and report | Docs in website (#10149)  * [docs] move to erpnext.org  * [docs]  * [minor] add title"
etcd,50,5,45,0.1,0.9,"fix_with_error_term(4), fixes_issue(1), issue_number(1)","README: fix typo  Signed-off-by: Gyuho Lee <gyuhox@gmail.com> | *: fix typo in README.md | CHANGELOG: fix typo ""--peer-cert-allowed-cn""  Signed-off-by: Gyuho Lee <gyuhox@gmail.com>"
express,63,16,47,0.254,0.746,"issue_number(16), closes_issue(14), fixes_issue(2)",docs: remove gratipay badges  closes #3524 | Fix TypeError in res.send when given Buffer and ETag header set  fixes #3445 | deps: serve-static@1.13.1  closes #3436
flask,12,1,11,0.0833,0.9167,issue_number(1),Remove python 2.6 and 3.3 everywhere. (#2583)
flink,10,8,2,0.8,0.2,"closes_issue(8), issue_number(8)",[hotfix] Update README.md building prerequisites  This closes #5924 | [hotfix][docs] Update maven version in building flink docs  This closes #5760. | [hotfix] Fix various typos  This closes #5497.
flutter,42,41,1,0.9762,0.0238,"issue_number(41), revert(2), github_pr_url(2)",Fix inconsistency (#17871) | Fix ScrollOffset calculation when childCount is null (#17722) | Fix consolidate HTTP response and add test  (#17082)  * Fix consolidate response and add test  * Update AUTHORS  * ignor
framework,9,9,0,1.0,0.0,"issue_number(9), github_pr_url(1)",Http links have been fixed as https. (#24252)  Http links have been fixed as https. | Add PR template (#23846) (#24128)  - this pr is cherry-picked from the https://github.com/laravel/framework/pull/23846 s | Add oxford comma (#23849)
gitignore,2,0,2,0.0,1.0,,
go,26,14,12,0.5385,0.4615,"issue_number(13), fixes_issue(3), revert(1)","README: update number of contributors  Change-Id: I5a1c7ed83a430a509d8f61f4aba8772d5d16ad48 GitHub-Last-Rev: fed86d88691 | A+C: update my name and spelling  GitHub-Last-Rev: ff68319f4c46271ddb927d176756962a3a2b4332 GitHub-Pull-Request: golang/ | Revert ""[release-branch.go1.10] all: merge master into release-branch.go1.10""  This reverts commit b83d7f72537bdc0cec2e9"
go-ethereum,21,12,9,0.5714,0.4286,"issue_number(11), fix_with_error_term(2)",eth: added travis build badge (#16117)  * eth: added travis build status for master branch  * README: fix travis badge o | README: add goreportcard.com badge to Readme (#16133)  * README: add goreportcard.com badge to Readme  * README: fix dou | all: update license information (#16089)
godot,25,2,23,0.08,0.92,issue_number(2),README: Use HTTPS URL for image. (#17851)  Updated links to use https when possible to avoid redirects. | Formatting an unformatted hyperlink (#12226)
grafana,286,136,150,0.4755,0.5245,"issue_number(131), fix_with_error_term(5), fixes_issue(2)",changelog: note about closing #11858 | changelog: add notes about closing #11494  [skip ci] | changelog: add notes about closing #12087  [skip ci]
grpc,21,2,19,0.0952,0.9048,"fix_with_error_term(1), revert(1)","Fix node source code link error | Revert ""Experiment: remove top level owners - test the model"""
guava,27,3,24,0.1111,0.8889,"fixes_issue(3), issue_number(3)",Use api instead of compile for Android  Fixes #3154  ------------- Created by MOE: https://github.com/google/moe MOE_MIG | remove maven-badges.herokuapp.com from readme  Fixes #3090  ------------- Created by MOE: https://github.com/google/moe  | Fixes #2905  ------------- Created by MOE: https://github.com/google/moe MOE_MIGRATED_REVID=165000871
homebrew-cask,32,24,8,0.75,0.25,issue_number(24),Fix rogue double-spacing (#46776) | Update issue templates (#46720) | ISSUE_TEMPLATE.md: ask for specific command (#45787)
html5-boilerplate,17,11,6,0.6471,0.3529,"issue_number(11), fix_with_error_term(1), fixes_issue(1)","Prepare 6.1 release (#2045)  - Update `CHANGELOG.md` date - Update dev deps - Indenting on `index.html` to 2 space (was  | HTTPS links (#2036)  * https a link  * https more links  * Fix paramaters typo  * Remove trailing . (unneeded) | Updated tests (Travis and Mocha) and dependencies, rebuilt dist (#2009)  * docs: remove trailing whitespace in CHANGELOG"
