repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AdminLTE,2,0,2,0.0,1.0,,
AspNetCore.Docs,6,4,2,0.6667,0.3333,issue_number(4),Update README.md (#27227) | Broken link update (#27226) | [BULK UPDATE] DocuTune - Rebranding links (#27044)  * [BULK UPDATE] DocuTune - Rebranding links  * Update cascading-valu
Chart.js,10,10,0,1.0,0.0,"issue_number(10), revert(1)",Update slack link (#11301)  * Update slack link  * Fix build | Remove meetup banner (#11093) | Update banner (#11057)  * Update banner  * Update  * Add width
DefinitelyTyped,15,15,0,1.0,0.0,"issue_number(15), fixes_issue(1)",Create Security Policy (#65382) | docs: add details of the history of DT (#65059) | 🤖 Merge PR #64860 chore: remove react-router & react-router-dom by @43081j  * chore (react-router-dom): remove redundant
FFmpeg,83,2,81,0.0241,0.9759,"github_pr_url(1), issue_number(1)",lavu/hwcontext_vaapi: Add Windows/VAAPI support with vaGetDisplayWin32  Libva 2.17+ adds a new libva-win32 node and Mesa | avcodec: add a bsf to reorder DTS into PTS  Starting with an h264 implementation. Can be extended to support other codec
FreeRDP,1,1,0,1.0,0.0,issue_number(1),Update the security policy (#8408)  Update the security with more details on the procedure and also add GitHub's securit
Ghost,13,1,12,0.0769,0.9231,issue_number(1),Removed Ghost(Valet) from readme (#15840)   - Ghost(Valet) has been unavailable for some time so linking to it here is r
HanLP,8,1,7,0.125,0.875,fix_with_error_term(1),Fix JSON float vs double error: https://bbs.hanlp.com/t/java/5043
Marlin,10,6,4,0.6,0.4,"issue_number(6), fix_with_error_term(1)",🔨 VSCode + Devcontainer support (#22420) | ✏️ Fix README typo (#25388) | 📝 Formatted Team Overview (#25029)
PHPMailer,20,0,20,0.0,1.0,,
Python,19,2,17,0.1053,0.8947,issue_number(2),gh-98083: Fix URLs in `README.rst` (#98082) | Fix link to Lifecycle of a Pull Request in CONTRIBUTING (#98102)  * Fix link to Lifecycle of a Pull Request in CONTRIBUT
Rocket.Chat,98,11,87,0.1122,0.8878,issue_number(11),"docs: how can i help? link broken (#28943) | fix(docs,readme): use raw image url (#28861) | docs: update documentation (#28719)  Co-authored-by: Hugo Costa <20212776+hugocostadev@users.noreply.github.com>"
TypeScript,8,7,1,0.875,0.125,"issue_number(7), github_issue_url(1)","Don't recommend installing typescript package globally in README (#53209) | Remove docker and user tests, related infra (#53118) | Add the OpenSSF Scorecard GitHub Action (#52103)  Signed-off-by: Pedro Kaj Kjellerup Nacht <pnacht@google.com>"
WordPress,6,5,1,0.8333,0.1667,"issue_number(5), references_issue(4), fixes_issue(1)","Site Health: Bump the recommended MariaDB version to 10.4.  MariaDB 10.3 reaches EOL (“End of Life”) in May 2023. The re | Docs: Use the new `/documentation/` URL for HelpHub link in `readme.html`.  Follow-up to [55412], [55413], [55414], [554 | Help/About: Use the new `/documentation/` URLs for HelpHub links in WordPress Admin.  As `https://wordpress.org/support/"
