repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AdminLTE,18,2,16,0.1111,0.8889,"issue_number(2), fix_with_error_term(1)",docs: update CHANGELOG with unreleased changes for v4.0.0 stable  Drafts the [Unreleased] section to cover everything qu | Fixed Compilation/Start error #5867  Compilation/Start error #5867 by introducing shx
AspNetCore.Docs,1,1,0,1.0,0.0,issue_number(1),Minor documentation improvement (#35930)
DefinitelyTyped,4,3,1,0.75,0.25,"issue_number(3), fix_with_error_term(1)","Include policy against using AI to spam with unwarranted packages (#74767) | 🤖 Merge PR #74488 [ali-oss] Add ListV2ObjectResult definition & Fix README.zh-Hans typo by @Subilan | Remove watchdogs, unused script deps (#73383)"
FFmpeg,85,0,85,0.0,1.0,,
FreeRDP,21,1,20,0.0476,0.9524,fix_with_error_term(1),fix missing changelog entry
Ghost,9,5,4,0.5556,0.4444,"issue_number(5), github_pr_url(1)",🎨 Migrated package manager from yarn v1 to pnpm (#27017)  ref https://linear.app/ghost/issue/PLA-17/  ## Summary  - Repl | 2026 (#25910)  Update copyright year to 2026  Also adds missing LICENSE files to portal and signup-form for consistency  | Added clear commit summary rule to contributing.md (#25180)  ref https://github.com/TryGhost/Ghost/pull/25146#pullreques
Marlin,7,5,2,0.7143,0.2857,"issue_number(5), fix_with_error_term(1)",📝 Apply Markdown formatting (#28283) | 📝 README (and other .md) updates (#28272) | 🎨 Patches for README (#28194)  Co-authored-by: Scott Lahteine <thinkyhead@users.noreply.github.com>
PHPMailer,27,1,26,0.037,0.963,"fixes_issue(1), issue_number(1)","Extract gmail transaction IDs, fixes #3224"
Python,14,3,11,0.2143,0.7857,issue_number(3),Remove references to ``Misc/ACKS`` from ``CONTRIBUTING.md`` (#141952)  Co-authored-by: Adam Turner <9087854+AA-Turner@us | GH-139436: Remove references to downloadable PDF documentation (#140416) | Link to Discourse in ``.github/CONTRIBUTING.rst`` (#138996)  Co-authored-by: Adam Turner <9087854+AA-Turner@users.norepl
Rocket.Chat,6,5,1,0.8333,0.1667,issue_number(5),chore: Update README.md (#39121)  Co-authored-by: Guilherme Gazzo <guilherme@gazzo.xyz> | docs: update YouTube capitalization in README (#38871)  Co-authored-by: Kevin Aleman <kaleman960@gmail.com> | chore: Update README.md (#37355)  Co-authored-by: Julio Araujo <julio.araujo@rocket.chat>
