repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AspNetCore.Docs,15,14,1,0.9333,0.0667,"issue_number(14), github_pr_url(1), github_issue_url(1)",Fix Markdownlint errors (#11620) | fix: MD031/blanks-around-fences (#11605) | Remove the ASP.NET 4.x conceptual docset (#11593)  * Remove ASP.NET 4.x docset  * README and CONTRIBUTION updates
Chart.js,6,5,1,0.8333,0.1667,issue_number(5),Revamp the README.md and add link to the awesome list (#6096)  Integrate the upcoming awesome list and make our README.m | Update contributors guide and issue templates (#5962) | Use comment for pull request template (#5595)
DefinitelyTyped,26,4,22,0.1538,0.8462,"issue_number(4), fix_with_error_term(2), references_issue(1)",Remove GA beacon since it won't work (#34110) | Updated to clarify versioning behavior  Fixed a few things with version-related documentation:   * clarified the relatio | Fix broken README link to korean README (#27903)
FFmpeg,78,4,74,0.0513,0.9487,"issue_number(4), fixes_issue(3)",avfilter: add colorhold filter  Fixes #7671. | avcodec: add LSCR decoder  Fixes #4711. | lavf/flvdec: added support for KUX container  Fixes ticket #4519.  The metadata starting at 0xe00004 is encrypted with t
FreeRDP,4,0,4,0.0,1.0,,
Ghost,27,9,18,0.3333,0.6667,"issue_number(9), fix_with_error_term(1)",Updated Twitter URL in Readme (#10698)  Update Twitter URL in help section from https://twitter.com/tryghost to https:// | Updated pull request template (#10341)  no issue  - Prefer yarn over npm - Add linting instructions | Updated README.md: docs links (#10150)  no issue
HanLP,13,3,10,0.2308,0.7692,github_issue_url(3),修复语料库下载链接 fix https://github.com/hankcs/HanLP/issues/1148 | 更新PKU98语料库地址 fix https://github.com/hankcs/HanLP/issues/1101 | 训练语料规模决定实际效果 close https://github.com/hankcs/HanLP/issues/877
Marlin,6,4,2,0.6667,0.3333,"issue_number(4), fix_with_error_term(1)","Fix links in templates, gcode.h (#14160) | readme: ATmega1284 has 16k of SRAM (#13421) | Mention 2.0.x 8-bit support earlier in README (#13317)"
PHPMailer,13,4,9,0.3077,0.6923,"issue_number(4), references_issue(1), fix_with_error_term(1)","Use ; to separate multiple params in MIME headers, see #1714 & #1705 | Adjust the format for better readability (#1687)  Adjust the format for better readability | Add GPL Cooperation Commitment (#1644)"
Python,20,3,17,0.15,0.85,"fix_with_error_term(1), issue_number(1), github_pr_url(1)","Fix a typo in SECURITY.md (GH-13568)    There is a duplicated ""in"" in the Supported Versions text. | regarding to grammar and spell check (#13020) | Move Code_of_Conduct.rst to the root level. (GH-8209)  Follow up from https://github.com/python/peps/pull/712#issuecomme"
