repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AspNetCore.Docs,7,7,0,1.0,0.0,issue_number(7),update links that result in 404 results (#35293) | Update README.md (#34483) | Update README.md - remove link to unmonitored feedback repo (#34447)
DefinitelyTyped,8,8,0,1.0,0.0,issue_number(8),"fix: update build status links in multiple language README files (#72601) | 🤖 Merge PR #72342 [README] Remove `base64-js` mention from README by @MysteryBlokHed | 🤖 Merge PR #71826 Rewrite cloning instructions to suggest blobless clone only, not sparse by @jakebailey"
FFmpeg,77,2,75,0.026,0.974,"fixes_issue(1), issue_number(1), fix_with_error_term(1)",Document stream specifier syntax change from 46cbe4ab5c  Fixes #11248. | MAINTAINERS: Fix typo in web repository  Found-by: Martin Schitter  Signed-off-by: Michael Niedermayer <michael@niederma
FreeRDP,28,0,28,0.0,1.0,,
Ghost,8,3,5,0.375,0.625,issue_number(3),Update CONTRIBUTING.md with Documentation guidance (#22826)  - When looking for how to propose updates to the [Install F | Updated pull request template and contrib guide (#22672)  - Our development practices have evolved since these were firs | Added translation gitmoji (#21226)  no ref
HanLP,2,0,2,0.0,1.0,,
Marlin,10,5,5,0.5,0.5,issue_number(5),🩹 Fix Bluesky badge (#27879) | 🌐 README in Portuguese (Brazil) (#27854) | 🚀 HAL for GD32 MFL (Creality v4.2.2) (#27744)
PHPMailer,15,0,15,0.0,1.0,,
Python,14,5,9,0.3571,0.6429,"issue_number(5), fix_with_error_term(1)","Update README.rst informations from 3.14 to 3.15 (#134649)  Co-authored-by: Wulian233 <1055917385@qq.com> Co-authored-by | CI: Update outdated references to Python version and GH issues (#132394) | Fix ""useable"" typo in docs (#127200)  Fix typo in docs"
Rocket.Chat,11,9,2,0.8182,0.1818,issue_number(9),docs: update `SECURITY.md` (#36024)  Co-authored-by: jonasflorencio <jonas.florencio@gmail.com> | docs: Remove F-Droid (#35982) | docs: Review README.md (#35316)
TypeScript,1,1,0,1.0,0.0,issue_number(1),Fix GHA badge in readme (#60937)
