repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AdminLTE,10,3,7,0.3,0.7,"issue_number(3), fix_with_error_term(2)",updated  readme and license (#2653)  * readme and license updated  * Update LICENSE  * Update README.md  * Update LICENS | Fix incorrect choice of words in README. (#2590) | Fix typo in README (#2447)
AspNetCore.Docs,7,7,0,1.0,0.0,issue_number(7),Fix links to Code of Conduct (#17732) | Update aspnet org. links to reference the dotnet org. (#17077)  * Update aspnet org. links to reference the dotnet org.  | Update README and feedback repo URL after repo transfer to dotnet org. (#17063)
Chart.js,1,1,0,1.0,0.0,"issue_number(1), github_issue_url(1), fix_with_error_term(1)",Fix broken links to contributor's guide (#7348)  Closes https://github.com/chartjs/Chart.js/issues/7347
DefinitelyTyped,33,31,2,0.9394,0.0606,"issue_number(31), github_pr_url(1), fix_with_error_term(1)","Adds Brazilian Portuguese README (#44964)  * Adds Brazilian Portuguese README  Co-Authored-By: Pedro Campos <pedro@cdias | Document removed support for TS 2.9 (#44968) | Make it ""Definitely Typed"" and revise docs on Definition Owners (#44679)  * Improve the docs around definition owners  *"
FFmpeg,98,5,93,0.051,0.949,"issue_number(4), fix_with_error_term(1)",avformat/mpegtsenc: use the correct stream_types and write HDMV descriptors for m2ts  Fixes ticket #2622.  Signed-off-by | avcodec: add a WebP parser  Based on code from the BMP parser.  Addresses ticket #8574  Reviewed-by: James Zern <jzern@g | Changelog: Fix typo of comments  Signed-off-by: Steven Liu <lq@onvideo.cn> Reviewed-by: Lou Logan <lou@lrcd.com>
FreeRDP,3,0,3,0.0,1.0,,
Ghost,12,3,9,0.25,0.75,"issue_number(3), fix_with_error_term(1)",Updated links to docs (#10941)  no issue | Fixed typo in readme (#10885)  no-issue  Fixed grammar -  s/your/you/ | Updated link to Ghost Blog (#10795)  no issue
HanLP,25,2,23,0.08,0.92,github_issue_url(2),Link for docker image close https://github.com/hankcs/HanLP/issues/1449 | Make CoNLLWord serializable fix https://github.com/hankcs/HanLP/issues/1409
Marlin,12,7,5,0.5833,0.4167,"issue_number(7), fix_with_error_term(1)",Update README MCU/boards (#17827) | Correct ESP32 CPU speed in README (#16472) | AGCM4 link in README.md (#15461)
PHPMailer,36,5,31,0.1389,0.8611,"issue_number(5), fixes_issue(1)","Update README.md (#2004)  encouraging implicit TLS on port 465 according to RFC8314 | Don't allow headers to contain breaks, fixes #1984 | Fix link to unit tests (#1926)"
Python,14,0,14,0.0,1.0,,
Rocket.Chat,126,20,106,0.1587,0.8413,issue_number(20),Update Contributing Guide (#17653) | Improve: New PR Template (#16968) | Hyper.sh went out of business in early 2019 (#17622)  https://news.ycombinator.com/item?id=18734658  Signed-off-by: Feli
TypeScript,13,8,5,0.6154,0.3846,"issue_number(8), fix_with_error_term(1)","Remove mentions of runtests-browser in CONTRIBUTING.md  The gulp tasks were removed in #30054, but the contributing guid | Update the authors script to generate the content of authors.md (#36867) | Update CONTRIBUTING.md (#36553)"
