repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AdminLTE,3,1,2,0.3333,0.6667,"issue_number(1), fix_with_error_term(1)",Fix gulp readme typo (#4133)
AspNetCore.Docs,3,3,0,1.0,0.0,"issue_number(3), fix_with_error_term(1)","Fix broken link (#25693)  Co-authored-by: Kirk Larkin <6025110+serpent5@users.noreply.github.com> | Added info about relative line-numbers in csharp-regions   (#24668)  * Highlighted the changes.  Added the highlight que | Wording change (""unsuitable"") (#23429)  * Wording change (""unsuitable"")  * Updates"
Chart.js,5,5,0,1.0,0.0,"issue_number(5), fix_with_error_term(1)",update link to license and bump license year (#10156)  * update link to license and bump license year * another license  | Added hyperlink on Chart.js LOGO (#9741)  Inserted a hyperlink on chart.js logo  So that users can easily be redirected  | linked LICENSE.md to README (#9747)
DefinitelyTyped,21,21,0,1.0,0.0,"issue_number(21), fix_with_error_term(2), github_pr_url(1)",🤖 Merge PR #59293 Fix link for currently requested definitions in README's by @MysteryBlokHed | docs: Update link to dtslint readme (#58952)  Co-authored-by: github/workflows/support-window.yml <bot@typescriptlang.or | Hack around remark-validate-link warnings (#58599)  It appears that `remark-validate-link` uses `hosted-git-info` to con
FFmpeg,67,1,66,0.0149,0.9851,fix_with_error_term(1),README: fix typo and description of libavfilter  Thanks to Arif Driessen for bringing notice to the typo.
FreeRDP,3,0,3,0.0,1.0,,
Ghost,10,2,8,0.2,0.8,"github_issue_url(1), issue_number(1)","Renamed ""client"" references to ""admin""  refs: https://github.com/TryGhost/Toolbox/issues/299  - renamed lots of things t | Updated spelling in README (#13369)  We've swapped from British -> American spelling, but this one was missed"
HanLP,17,0,17,0.0,1.0,,
Marlin,3,2,1,0.6667,0.3333,issue_number(2),"📝 Add logo, helpful links to README (#24226) | 👔 Move GitHub templates, update README (#24199)"
PHPMailer,30,3,27,0.1,0.9,"fixes_issue(3), issue_number(3)","Rejig setting XMailer to avoid PHP 8.1 issue, fixes #2635 | Restrict shell-based mailers if we can't use them safely, fixes #966 | Fix for ini_get issue in PHP 5.6, fixes #2529"
Python,22,4,18,0.1818,0.8182,"issue_number(4), fixes_issue(1)",Remove linking to bugs.python.org from the README (#91418)  Fixes #91424. | Fix copyright years in `README.rst` (#31347) | bpo-46178: Remove/rename redundant Travis CI code (#30309)
Rocket.Chat,132,11,121,0.0833,0.9167,issue_number(11),Chore: Move ddp-streamer micro service to its own sub-repo (#25246) | Chore: resolve grammatical errors in Code of Conduct (#24759) | [IMPROVE] Updated links in readme (#24028)  * updated links in readme  * changed link to point to playlist  * added emai
TypeScript,8,8,0,1.0,0.0,"issue_number(8), fix_with_error_term(1), github_pr_url(1)",Update CONTRIBUTING.md to mention issue claiming and force pushing (#49090)  * Update contributing to mention issue clai | fix(48557): Add missing JSDoc parameters  (#48560)  * Fix jsdoc of some `DataView` method.  * Add author by 'Fix jsdoc o | Note git's core.longpaths in CONTRIBUTING (#45069)  * Note git's core.longpaths in CONTRIBUTING  So people will be able 
WordPress,9,8,1,0.8889,0.1111,"issue_number(8), fixes_issue(6), references_issue(3)","General: Bump the recommended MariaDB version in `readme.html`.  MariaDB 10.2 has reached EOL in May 2022. The recommend | Administration: Remove a duplicate sentence after [52980].  Follow-up to [52980], [52979], [52978].  Props SergeyBiryuko | Administration: Rephrase some sentences after [52978].  Follow-up to [52978], [52979].  Props SergeyBiryukov. Fixes #389"
airflow,133,131,2,0.985,0.015,"issue_number(131), github_issue_url(4), fix_with_error_term(4)",Fix links in documentation (#23975)  * fix links * added right link to breeze | Update INSTALL_PROVIDERS_FROM_SOURCES instructions. (#23938) | `2.3.1` has been released (#23912)
angular,141,129,12,0.9149,0.0851,"issue_number(129), closes_issue(69), fix_with_error_term(3)",docs: release notes for the v14.0.0-rc.2 release (#46144)  PR Close #46144 | docs: release notes for the v13.3.10 release (#46142)  PR Close #46142 | docs: release notes for the v14.0.0-rc.1 release (#46045)
animate.css,5,3,2,0.6,0.4,issue_number(3),"License Update (#1374)  * fix license badge and rename files  * update docs and configs for new license  * update builds | Update contact info (#1342) | 👌 IMPROVE: update CSSNano, add Security Policy (#1317)  * 🐛 FIX: update cssnano  * 📦 NEW: security policy"
ansible,2,2,0,1.0,0.0,issue_number(2),No Ansible Engine (#75812) | README optimizations (#75115)  Co-authored-by: Alicia Cozine <acozine@users.noreply.github.com>
ant-design,89,73,16,0.8202,0.1798,"issue_number(72), fix_with_error_term(3), closes_issue(3)",docs: 4.20.6 changelog (#35671)  * docs: 4.20.6 changelog  * docs: fix build | docs: Update CHANGELOG.zh-CN.md (#35604) | docs: fix 4.20.5 changelog typo (#35567)
ardupilot,14,1,13,0.0714,0.9286,fix_with_error_term(1),README: Fix broken links to CI tests
aspnetcore,8,8,0,1.0,0.0,"issue_number(8), fixes_issue(1)","Update README Roadmap (#40076) | Update CONTRIBUTING.md (#37696)  - clarity, grammar, and punctuation improvements | Add / update PR templates (#37412)  - add eng/PatchConfig.props reminder for release/2.1 - move related issue into **Des"
