repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AdminLTE,60,18,42,0.3,0.7,"issue_number(17), fix_with_error_term(5)",docs: update CHANGELOG with unreleased changes for v4.0.0 stable  Drafts the [Unreleased] section to cover everything qu | Fixed Compilation/Start error #5867  Compilation/Start error #5867 by introducing shx | Fix typo in README.md
AspNetCore.Docs,85,67,18,0.7882,0.2118,"issue_number(67), fix_with_error_term(4), github_pr_url(2)",Minor documentation improvement (#35930) | update links that result in 404 results (#35293) | Update README.md (#34483)
Chart.js,58,40,18,0.6897,0.3103,"issue_number(40), fix_with_error_term(3), revert(1)",Update LICENSE.md year (#11762) | Switch to discord (#11318) | Update slack link (#11301)  * Update slack link  * Fix build
DefinitelyTyped,291,211,80,0.7251,0.2749,"issue_number(208), fix_with_error_term(13), github_pr_url(3)","Include policy against using AI to spam with unwarranted packages (#74767) | 🤖 Merge PR #74488 [ali-oss] Add ListV2ObjectResult definition & Fix README.zh-Hans typo by @Subilan | Remove watchdogs, unused script deps (#73383)"
FFmpeg,974,29,945,0.0298,0.9702,"issue_number(22), fixes_issue(6), fix_with_error_term(4)",Document stream specifier syntax change from 46cbe4ab5c  Fixes #11248. | MAINTAINERS: Fix typo in web repository  Found-by: Martin Schitter  Signed-off-by: Michael Niedermayer <michael@niederma | avcodec: LEAD MCMP decoder  Partially fixes ticket #798  Reviewed-by: James Almer <jamrial@gmail.com> Reviewed-by: Micha
FreeRDP,88,2,86,0.0227,0.9773,"fix_with_error_term(1), issue_number(1)",fix missing changelog entry | Update the security policy (#8408)  Update the security with more details on the procedure and also add GitHub's securit
Ghost,138,50,88,0.3623,0.6377,"issue_number(47), fix_with_error_term(4), github_issue_url(3)",🎨 Migrated package manager from yarn v1 to pnpm (#27017)  ref https://linear.app/ghost/issue/PLA-17/  ## Summary  - Repl | 2026 (#25910)  Update copyright year to 2026  Also adds missing LICENSE files to portal and signup-form for consistency  | Added clear commit summary rule to contributing.md (#25180)  ref https://github.com/TryGhost/Ghost/pull/25146#pullreques
HanLP,120,6,114,0.05,0.95,"github_issue_url(5), fix_with_error_term(1)",Fix JSON float vs double error: https://bbs.hanlp.com/t/java/5043 | Link for docker image close https://github.com/hankcs/HanLP/issues/1449 | Make CoNLLWord serializable fix https://github.com/hankcs/HanLP/issues/1409
Marlin,85,44,41,0.5176,0.4824,"issue_number(43), fix_with_error_term(5)",📝 Apply Markdown formatting (#28283) | 📝 README (and other .md) updates (#28272) | 🎨 Patches for README (#28194)  Co-authored-by: Scott Lahteine <thinkyhead@users.noreply.github.com>
PHPMailer,277,40,237,0.1444,0.8556,"issue_number(40), fixes_issue(12), references_issue(6)","Extract gmail transaction IDs, fixes #3224 | Readme: Update `PHPMailerLangTest` references to `TranslationCompletenessTest`  In #2377, the `PHPMailerLangTest` test w | Rejig setting XMailer to avoid PHP 8.1 issue, fixes #2635"
Python,206,37,169,0.1796,0.8204,"issue_number(34), fix_with_error_term(3), fixes_issue(1)",Remove references to ``Misc/ACKS`` from ``CONTRIBUTING.md`` (#141952)  Co-authored-by: Adam Turner <9087854+AA-Turner@us | GH-139436: Remove references to downloadable PDF documentation (#140416) | Link to Discourse in ``.github/CONTRIBUTING.rst`` (#138996)  Co-authored-by: Adam Turner <9087854+AA-Turner@users.norepl
Rocket.Chat,910,133,777,0.1462,0.8538,"issue_number(129), fix_with_error_term(14), closes_issue(5)",chore: Update README.md (#39121)  Co-authored-by: Guilherme Gazzo <guilherme@gazzo.xyz> | docs: update YouTube capitalization in README (#38871)  Co-authored-by: Kevin Aleman <kaleman960@gmail.com> | chore: Update README.md (#37355)  Co-authored-by: Julio Araujo <julio.araujo@rocket.chat>
TypeScript,152,80,72,0.5263,0.4737,"issue_number(78), fix_with_error_term(13), fixes_issue(10)",Update AI assistance guidelines in CONTRIBUTING.md (#63496)  Co-authored-by: Copilot Autofix powered by AI <175728472+Co | Fix typo in README: behavorial -> behavioral (#63492) | Update CONTRIBUTING.md with comment automation policy (#63412)
WordPress,55,44,11,0.8,0.2,"issue_number(44), fixes_issue(31), references_issue(16)","General: Increase the minimum supported version of PHP to 7.4.  Props justlevine, masteradhoc, samiamnot, matt, bradshaw | Scripts: Remove default attributes from tags.  `SCRIPT`, `STYLE`, and stylesheet `LINK` tags do not require a type attri | Docs: The recommended version of PHP is now 8.3 or greater.  Meta ticket: https://meta.trac.wordpress.org/ticket/6612  S"
airflow,1199,1147,52,0.9566,0.0434,"issue_number(1145), closes_issue(186), fix_with_error_term(43)","Airflow 3.2.2 has been released (#67680) | Add community escalation process doc with private@ appeal channel (#67557)  Extracts the generic escalation language (cl | Adopt apache/airflow-steward framework (pr-management skills via snapshot) (#66677)  * Remove pr-triage, maintainer-revi"
angular,1387,451,936,0.3252,0.6748,"issue_number(447), closes_issue(288), fix_with_error_term(37)","docs: fix typo in CHANGELOG.md | docs: Fix typo in doc  Fix typo in documentation. Changed ""create workspace"" to ""create a workspace""  Fixed #68375 | ci: reformat files  This is after we've slightly changed a rule in #66056"
animate.css,73,35,38,0.4795,0.5205,"issue_number(32), fix_with_error_term(7), fixes_issue(2)",Update README.md (#1699)  typo fixed | License Update (#1374)  * fix license badge and rename files  * update docs and configs for new license  * update builds | Update contact info (#1342)
ansible,504,272,232,0.5397,0.4603,"issue_number(266), fixes_issue(11), fix_with_error_term(8)","humans (#86910) | Update badgest in README to indicate Matrix and Forum (#86839) | Make relative links in the description field of core packaging metadata absolute  PR #86461.  Prior to this patch, the c"
ant-design,1540,812,728,0.5273,0.4727,"issue_number(782), fix_with_error_term(86), closes_issue(22)",docs: add 6.4.3 changelog (#58036)  * chore: chore(release): 添加 6.4.3 版本 changelog 与 git commit 模板  Co-authored-by: qixi | docs: add changelog for 6.4.2 (#57978)  Co-authored-by: Claude Opus 4.7 <noreply@anthropic.com> | docs: add changelog for 6.4.1 (#57972)  Co-authored-by: Claude Opus 4.7 <noreply@anthropic.com>
ardupilot,79,4,75,0.0506,0.9494,fix_with_error_term(4),global: fix whitespace issues in markdown files  global: fix MD007 unordered list indentation in markdown files  Normali | README: Fix broken link to CI unit test | README: Fix broken links to CI tests
aspnetcore,584,138,446,0.2363,0.7637,"issue_number(127), fix_with_error_term(12), fixes_issue(9)",Update CONTRIBUTING.md (#65616)  Fix broken link in contribution readme | [main] Source code updates from dotnet/dotnet (#65006)  [main] Source code updates from dotnet/dotnet    - Update .devco | Update README.md (#59191)  * Update README.md  Fixing SDK link.  * Update README.md  * Update README.md  ---------  Co-a
