repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AspNetCore.Docs,29,21,8,0.7241,0.2759,"issue_number(21), github_pr_url(1), fix_with_error_term(1)",file names lowercase (#3032) | Legal updates from CELA (#2977)  * This licence file is being replaced  * New files from CELA  * Update from CELA | update redirect guidance (#2948)
Chart.js,19,3,16,0.1579,0.8421,issue_number(3),"Fix code climate badge and link (#4277) | Add `gulp unittest --coverage` argument (#4075)  Coverage data are now generated by running `gulp unittest` with the `-- | Spelling fixes (#3522)  Including: actually, aspect, bottom, changes, characters, datasets, divisible, downward, guideli"
DefinitelyTyped,72,36,36,0.5,0.5,"issue_number(35), fix_with_error_term(2), fixes_issue(1)",Fix typo in PR template | Updated readme. Added that definition by can be multiline. (#16276) | Remove outdated section from README (#15918)
FFmpeg,165,8,157,0.0485,0.9515,"issue_number(6), github_pr_url(1), fixes_issue(1)",vaapi_encode: Add VP8 support  Fixes ticket #6116.  (cherry picked from commit ca62236a89f47bd871eaf69d8d9e837c93c55a6c) | lavf/rtpdec_g726: Map mime type G726 to g726le.  Add new mime types AAL2-G726 for g726 as suggested in rfc 3551.  This p | lavfi: add nlmeans filter  Fixes Ticket #4910
Ghost,17,15,2,0.8824,0.1176,"issue_number(15), github_pr_url(1), closes_issue(1)",🎨  Using yarn instead of npm according to the paragraph above it (#8475)  no issue - original PR: https://github.com/Try | 🎨  add min version of yarn to our readme (#8452)  no issue - earlier versions of yarn result in slightly different yarn. | ✨ Added pre-commit hook to handle submodules (#8302)  refs #8235  Usage: - for existing development setups: `grunt symli
HanLP,14,0,14,0.0,1.0,,
Marlin,11,1,10,0.0909,0.9091,fix_with_error_term(1),"Fix for broken MBL  LCD call was waiting forever, causing the system to hang."
PHPMailer,46,8,38,0.1739,0.8261,"issue_number(8), references_issue(3), fixes_issue(2)","Incorporate file-reading changes from #500 Update changelog | Handle bare codes (an RFC contravention) in SMTP replies, fixes #1017 | Trap low-level SMTP errors, see #1012"
Python,46,8,38,0.1739,0.8261,"issue_number(8), fix_with_error_term(1)",README.rst: List out relevant links to the project (#283) | Make devguide link in README more prominent (#145) | Rename Doc/README.txt to Doc/README.rst and add formatting (#104)  * Reformat Doc/README.txt to Doc/README.rst  * Update
Rocket.Chat,115,12,103,0.1043,0.8957,"issue_number(12), fix_with_error_term(3), closes_issue(2)","fixed type in readme.md (#6580)  ""intallation"" is now ""installation"" | Fix Outgoing Webhooks Retrying Not Respecting Enabled Status (#6478)  * When retrying an outgoing integration, verify it | Closes #6355 - Fix bug on room preview with autotranslate on"
TypeScript,28,5,23,0.1786,0.8214,"issue_number(5), fix_with_error_term(5), fixes_issue(4)","[Transforms] Merge master 08/09 (#10263)  * Improve error message  * Remove `SupportedExpressionWithTypeArguments` type; | [Release-2.0] Merge master into Release-2.0 (#10347)  * Change getUnionType to default to no subtype reduction  * Remove | [Transforms] Merge master 07/11 into transform (#9697)  * Use merge2, gulp-if, gulp-newer, and more projects  * Add watc"
WordPress,7,5,2,0.7143,0.2857,"issue_number(5), fixes_issue(4), references_issue(1)","General: Update copyright year to 2017 in license.txt.  Props Nikschavan. Fixes #39433.  Built from https://develop.svn. | Remove the WordPress version number from `readme.html`.  See #35554   Built from https://develop.svn.wordpress.org/trunk | Readme: Update recommendations to PHP 7, and to include HTTPS.  See https://wordpress.org/news/2016/12/moving-toward-ssl"
airflow,78,67,11,0.859,0.141,"closes_issue(67), issue_number(67), fix_with_error_term(3)",Add Quora and Tictail to companies using Airflow in README  With the informal approval of my points of contact of course | [AIRFLOW-1175] Add Pronto Tools to Airflow user list  Closes #2277 from zkan/add_pronto_tools_to_airflow_user_list | [AIRFLOW-1193] Add Checkr to company using Airflow  Closes #2276 from tongboh/patch-1
angular,141,56,85,0.3972,0.6028,"issue_number(54), fix_with_error_term(13), closes_issue(9)",docs: remove angular.io from changelog (#16723) | docs: fixed broken links (#15455)  Closes #15446 | docs: fix changelog to list npm command for Windows (#14812)   Closes #14809
animate.css,19,4,15,0.2105,0.7895,"fix_with_error_term(2), issue_number(1), revert(1)","New Special - jackInTheBox (#631)  * use gulp  * convert tabs to spaces  * convert tabs to spaces | Revert ""updated CDN on the Readme.md"" | Fixed broken CDN link"
ansible,224,103,121,0.4598,0.5402,"issue_number(101), fixes_issue(4), github_pr_url(3)","Added all new modules to CHANGELOG (#25120) | Transition inventory into plugins (#23001)  * draft new inventory plugin arch, yaml sample   - split classes, moved out  | Fix installation instructions link in the README (#24754)  * Fix the installation instructions link in the README  The o"
ant-design,243,51,192,0.2099,0.7901,"issue_number(50), closes_issue(5), fix_with_error_term(1)",docs: Add polyfill note  close #6190 | Add 2.10.1 changelog (#6129) | docs: add changelog for 2.10 (#5981)
ardupilot,11,1,10,0.0909,0.9091,fix_with_error_term(1),Fix broken links in README
aspnetcore,105,17,88,0.1619,0.8381,"issue_number(16), fixes_issue(3), references_issue(1)","Clarify contribution instructions. Fixes #934. | Migrate to netcoreapp2.0 (#1202)  * Migrate to netcoreapp2.0, remove Microsoft.Owin.Security.Interop & tests.  * Remove  | Update README.md (#1799)  Kestrel is not (only) libuv-based anymore :)"
