project_name,repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
metasploit-framework,metasploit-framework,2020-06-30,2025-06-29,0.500,no,no,14692,79,34,0.113924,0.316456,0.481013,0.670886,6,19,50,17,0.180000,0.420000,0.600000,0.860000,4,8,0,0,,,,,,,29,23,0.103448,0.241379,0.379310,0.551724,9,18,True,79,79
juice-shop,juice-shop,2020-06-30,2025-06-29,0.500,no,no,6394,140,9,0.664179,0.932836,0.970149,1.000000,1,2,71,6,0.602941,0.926471,0.985294,1.000000,1,3,31,3,0.806452,1.000000,1.000000,1.000000,1,1,38,5,0.657143,0.942857,1.000000,1.000000,1,2,True,140,140
flask,flask,2020-06-30,2025-06-29,0.500,no,no,877,32,10,0.593750,0.781250,0.843750,1.000000,1,4,22,7,0.590909,0.818182,0.909091,1.000000,1,3,3,1,1.000000,1.000000,1.000000,1.000000,1,1,7,5,0.428571,0.714286,1.000000,1.000000,2,4,True,32,32
terraform,terraform,2020-06-30,2025-06-29,0.500,no,no,6466,562,56,0.214669,0.416816,0.550984,0.745975,4,14,465,51,0.244589,0.474026,0.599567,0.770563,4,12,83,16,0.204819,0.506024,0.662651,0.903614,3,8,14,10,0.214286,0.500000,0.642857,1.000000,3,8,True,562,562
FFmpeg,FFmpeg,2020-06-30,2025-06-29,0.500,no,no,21718,410,86,0.297561,0.465854,0.553659,0.653659,4,23,172,54,0.232558,0.430233,0.488372,0.616279,6,21,178,37,0.606742,0.702247,0.758427,0.831461,1,8,60,34,0.166667,0.316667,0.400000,0.566667,8,22,True,410,410
aspnetcore,aspnetcore,2020-06-30,2025-06-29,0.500,no,no,10420,37,23,0.135135,0.351351,0.459459,0.648649,6,16,28,19,0.178571,0.392857,0.500000,0.678571,5,14,3,2,0.666667,1.000000,1.000000,1.000000,1,2,6,4,0.333333,0.833333,1.000000,1.000000,2,3,True,37,37
Marlin,Marlin,2020-06-30,2025-06-29,0.500,no,no,6303,41,18,0.292683,0.609756,0.682927,0.804878,2,10,27,10,0.370370,0.740741,0.814815,1.000000,2,5,7,5,0.285714,0.714286,1.000000,1.000000,2,4,7,7,0.142857,0.428571,0.714286,1.000000,4,6,True,41,41
jekyll,jekyll,2020-06-30,2025-06-29,0.500,no,no,844,388,13,0.884021,0.948454,0.971649,0.992268,1,1,382,12,0.897906,0.952880,0.976440,0.994764,1,1,3,2,0.666667,1.000000,1.000000,1.000000,1,2,3,2,0.666667,1.000000,1.000000,1.000000,1,2,True,388,388
PHPMailer,PHPMailer,2020-06-30,2025-06-29,0.500,no,no,729,115,5,0.962963,0.981481,1.000000,1.000000,1,1,84,5,0.949367,0.974684,1.000000,1.000000,1,1,27,1,1.000000,1.000000,1.000000,1.000000,1,1,4,1,1.000000,1.000000,1.000000,1.000000,1,1,True,115,115
go,go,2020-06-30,2025-06-29,0.500,no,no,18851,46,36,0.086957,0.217391,0.304348,0.434783,13,27,43,35,0.093023,0.209302,0.302326,0.418605,14,27,3,3,0.333333,1.000000,1.000000,1.000000,2,3,0,0,,,,,,,True,46,46
core,core,2020-06-30,2025-06-29,0.500,no,no,67821,30,23,0.133333,0.333333,0.400000,0.566667,8,17,24,19,0.166667,0.333333,0.416667,0.625000,7,15,0,0,,,,,,,6,5,0.333333,0.666667,1.000000,1.000000,2,4,True,30,30
bootstrap,bootstrap,2020-06-30,2025-06-29,0.500,no,no,3179,89,27,0.528090,0.685393,0.730337,0.808989,1,10,46,22,0.434783,0.565217,0.630435,0.739130,2,13,10,9,0.200000,0.400000,0.600000,1.000000,4,7,33,5,0.757576,0.939394,1.000000,1.000000,1,2,True,89,89
dotfiles,dotfiles,2020-06-30,2025-06-29,0.500,no,no,105,5,2,0.800000,1.000000,1.000000,1.000000,1,1,2,2,0.500000,1.000000,1.000000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,5,5
Chart.js,Chart.js,2020-06-30,2025-06-29,0.500,no,no,1345,25,6,0.333333,0.777778,0.944444,1.000000,2,4,22,6,0.400000,0.800000,0.933333,1.000000,2,3,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,25,25
WordPress,WordPress,2020-06-30,2025-06-29,0.500,no,no,9364,31,7,0.451613,0.806452,0.935484,1.000000,2,3,30,7,0.433333,0.800000,0.933333,1.000000,2,3,1,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,31,31
